gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,203496,Robert,Covington,R. Covington,robert-covington,F,,,38:28,134.6,134.6,114.1,114.1,20.5,20.5,0.0,0.0,0.0,0.029,0.206,0.118,20.0,0.5,0.571,0.114,0.114,97.33,97.33,81.11,78.0,0.053
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,203994,Jusuf,Nurkić,J. Nurkić,jusuf-nurkić,C,,,34:45,137.0,137.0,125.0,125.0,12.0,12.0,0.188,2.0,26.1,0.097,0.267,0.18,13.0,0.455,0.44,0.207,0.207,100.14,100.14,83.45,73.0,0.066
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,203468,CJ,McCollum,C. McCollum,cj-mccollum,G,,,43:50,128.9,128.9,124.1,124.1,4.8,4.8,0.308,0.0,20.5,0.0,0.083,0.038,0.0,0.717,0.712,0.301,0.301,96.91,96.91,80.76,90.0,0.193
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,203081,Damian,Lillard,D. Lillard,damian-lillard,G,,,41:21,123.9,123.9,116.3,116.3,7.6,7.6,0.31,1.8,20.5,0.022,0.108,0.061,11.4,0.482,0.53,0.337,0.337,100.99,100.99,84.16,88.0,0.125
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,2546,Carmelo,Anthony,C. Anthony,carmelo-anthony,,,,20:26,79.1,79.1,119.0,119.0,-40.0,-40.0,0.2,0.0,18.2,0.0,0.059,0.021,0.0,0.278,0.278,0.164,0.164,99.84,99.84,83.2,43.0,0.016
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,203918,Rodney,Hood,R. Hood,rodney-hood,,,,15:46,108.6,108.6,114.7,114.7,-6.1,-6.1,0.077,1.0,25.0,0.0,0.0,0.0,25.0,0.75,0.75,0.071,0.071,105.07,105.07,87.55,35.0,0.031
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,202683,Enes,Freedom,E. Freedom,enes-freedom,,,,18:15,75.7,75.7,100.0,100.0,-24.3,-24.3,0.0,0.0,0.0,0.143,0.313,0.205,25.0,0.8,0.85,0.167,0.167,96.0,96.0,80.0,37.0,0.321
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,1629018,Gary,Trent Jr.,G. Trent Jr.,gary-trent-jr,,,,5:55,72.7,72.7,133.3,133.3,-60.6,-60.6,0.0,0.0,0.0,0.0,0.25,0.071,0.0,0.0,0.0,0.067,0.067,93.3,93.3,77.75,11.0,-0.105
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,1629014,Anfernee,Simons,A. Simons,anfernee-simons,,,,9:51,75.0,75.0,100.0,100.0,-25.0,-25.0,0.0,0.0,0.0,0.0,0.1,0.038,0.0,0.6,0.595,0.231,0.231,97.46,97.46,81.22,20.0,0.324
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,1629833,Keljin,Blevins,K. Blevins,keljin-blevins,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
